countycode,countyname,subcountycode,subcounty,constituencycode,constituency,communitycode,communityname
41,siaya,003ken006009,siaya,234,alego,003ken006009001001001,kakumu
41,siaya,003ken006009,siaya,234,alego,003ken006009001001002,kochieng_a
41,siaya,003ken006009,siaya,234,alego,003ken006009001001003,kochieng_b
41,siaya,003ken006009,siaya,234,alego,003ken006009001001004,kokeyo
41,siaya,003ken006009,siaya,234,alego,003ken006009001001005,ojwando_a
41,siaya,003ken006009,siaya,234,alego,003ken006009001001006,ojwando_b
41,siaya,003ken006009,siaya,234,alego,003ken006009001002001,hono
41,siaya,003ken006009,siaya,234,alego,003ken006009001002002,komolo
41,siaya,003ken006009,siaya,234,alego,003ken006009001002003,nyalgunga
41,siaya,003ken006009,siaya,234,alego,003ken006009001002004,nyamila
41,siaya,003ken006009,siaya,234,alego,003ken006009001003001,kadenge
41,siaya,003ken006009,siaya,234,alego,003ken006009001003002,obambo
41,siaya,003ken006009,siaya,234,alego,003ken006009002001001,olwa
41,siaya,003ken006009,siaya,233,ugenya,003ken006009002001002,umala
41,siaya,003ken006009,siaya,234,alego,003ken006009002001003,ulafu
41,siaya,003ken006009,siaya,234,alego,003ken006009002002001,bar_ding
41,siaya,003ken006009,siaya,234,alego,003ken006009002002002,bar_olengo
41,siaya,003ken006009,siaya,234,alego,003ken006009002002003,bar_osimbo
41,siaya,003ken006009,siaya,234,alego,003ken006009002002004,mur_malanga
41,siaya,003ken006009,siaya,234,alego,003ken006009002002005,nyajuok
41,siaya,003ken006009,siaya,234,alego,003ken006009002002006,pap_oriang
41,siaya,003ken006009,siaya,234,alego,003ken006009002002007,randago
41,siaya,003ken006009,siaya,234,alego,003ken006009002003001,bar_agulu
41,siaya,003ken006009,siaya,234,alego,003ken006009002003002,masumbi
41,siaya,003ken006009,siaya,234,alego,003ken006009002003003,mur_ngiya
41,siaya,003ken006009,siaya,234,alego,003ken006009002003004,nyangoma
41,siaya,003ken006009,siaya,234,alego,003ken006009002004001,karapul
41,siaya,003ken006009,siaya,234,alego,003ken006009002004002,mulaha
41,siaya,003ken006009,siaya,235,gem,003ken006009002004003,wagai_east
41,siaya,003ken006009,siaya,233,ugenya,003ken006009003001001,ambira
41,siaya,003ken006009,siaya,233,ugenya,003ken006009003001002,ngunya
41,siaya,003ken006009,siaya,234,alego,003ken006009003001003,umala_s.e.alego
41,siaya,003ken006009,siaya,233,ugenya,003ken006009003002001,got_osimbo
41,siaya,003ken006009,siaya,233,ugenya,003ken006009003002002,madungu
41,siaya,003ken006009,siaya,233,ugenya,003ken006009003002003,mungao
41,siaya,003ken006009,siaya,233,ugenya,003ken006009003002004,sigomere
41,siaya,003ken006009,siaya,233,ugenya,003ken006009003003001,asango_east
41,siaya,003ken006009,siaya,233,ugenya,003ken006009003003002,asango_west
41,siaya,003ken006009,siaya,233,ugenya,003ken006009003003003,tingare_east
41,siaya,003ken006009,siaya,233,ugenya,003ken006009003003004,tingare_west
41,siaya,003ken006009,siaya,233,ugenya,003ken006009003004001,rangala
41,siaya,003ken006009,siaya,233,ugenya,003ken006009003004002,ruwe
41,siaya,003ken006009,siaya,233,ugenya,003ken006009003004003,simenya
41,siaya,003ken006009,siaya,233,ugenya,003ken006009003004004,uhuyi
41,siaya,003ken006009,siaya,233,ugenya,003ken006009003004005,yiro_east
41,siaya,003ken006009,siaya,233,ugenya,003ken006009003004006,yiro_west
41,siaya,003ken006009,siaya,233,ugenya,003ken006009003005001,magoya
41,siaya,003ken006009,siaya,233,ugenya,003ken006009003005002,rambula_north
41,siaya,003ken006009,siaya,233,ugenya,003ken006009003005003,rambula_south
41,siaya,003ken006009,siaya,233,ugenya,003ken006009003005004,ugunja
41,siaya,003ken006009,siaya,232,ugenya,003ken006009004001001,kathieno_a
41,siaya,003ken006009,siaya,232,ugenya,003ken006009004001002,kathieno_b
41,siaya,003ken006009,siaya,232,ugenya,003ken006009004001003,kathieno_c
41,siaya,003ken006009,siaya,235,gem,003ken006009004002001,anyiko
41,siaya,003ken006009,siaya,232,ugenya,003ken006009004002002,jera
41,siaya,003ken006009,siaya,232,ugenya,003ken006009004002003,ligala
41,siaya,003ken006009,siaya,233,ugenya,003ken006009004002004,ligega
41,siaya,003ken006009,siaya,232,ugenya,003ken006009004002005,nyamsenda
41,siaya,003ken006009,siaya,232,ugenya,003ken006009004002006,ramunde
41,siaya,003ken006009,siaya,232,ugenya,003ken006009004002007,sihayi
41,siaya,003ken006009,siaya,232,ugenya,003ken006009004003001,kagonya
41,siaya,003ken006009,siaya,232,ugenya,003ken006009004003002,nyalenya
41,siaya,003ken006009,siaya,232,ugenya,003ken006009004003003,sega
41,siaya,003ken006009,siaya,232,ugenya,003ken006009004003004,uyundo
41,siaya,003ken006009,siaya,232,ugenya,003ken006009004004001,karadolo
41,siaya,003ken006009,siaya,232,ugenya,003ken006009004004002,karondolo_east
41,siaya,003ken006009,siaya,232,ugenya,003ken006009004004003,ndenga
41,siaya,003ken006009,siaya,232,ugenya,003ken006009004005001,doho_east
41,siaya,003ken006009,siaya,232,ugenya,003ken006009004005002,doho_west
41,siaya,003ken006009,siaya,232,ugenya,003ken006009004005003,simur
41,siaya,003ken006009,siaya,232,ugenya,003ken006009004005004,simur_east
